epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,97.7044,1.66359,0.34206,0.9441,1.63551,0.00332928,0.00332928,0.00332928
2,181.078,1.54057,0.47099,0.96448,1.41795,0.0065307,0.0065307,0.0065307
3,263.756,1.47832,0.45825,0.97184,1.38442,0.00960011,0.00960011,0.00960011
4,346.819,1.37517,0.50198,0.97594,1.31917,0.009406,0.009406,0.009406
5,434.129,1.27218,0.53623,0.98372,1.17566,0.009208,0.009208,0.009208
6,515.67,1.20935,0.53283,0.98528,1.19197,0.00901,0.00901,0.00901
7,596.567,1.17555,0.57246,0.9867,1.09638,0.008812,0.008812,0.008812
8,675.418,1.15865,0.59751,0.98896,1.03607,0.008614,0.008614,0.008614
9,754.591,1.13777,0.56821,0.98896,1.09684,0.008416,0.008416,0.008416
10,841.8,1.10813,0.62256,0.98995,0.99428,0.008218,0.008218,0.008218
11,929.651,1.08381,0.5893,0.98995,1.04828,0.00802,0.00802,0.00802
12,1012.63,1.08234,0.61987,0.9908,0.96921,0.007822,0.007822,0.007822
13,1099.17,1.05031,0.62129,0.98981,0.98951,0.007624,0.007624,0.007624
14,1183.09,1.03772,0.63643,0.9925,0.9388,0.007426,0.007426,0.007426
15,1267.63,1.02927,0.64648,0.99278,0.91159,0.007228,0.007228,0.007228
16,1357.29,1.00735,0.63303,0.99222,0.94627,0.00703,0.00703,0.00703
17,1445.52,0.98926,0.61959,0.99335,0.97035,0.006832,0.006832,0.006832
18,1533.22,0.98795,0.65228,0.99533,0.88705,0.006634,0.006634,0.006634
19,1615.26,0.96545,0.66473,0.99462,0.86415,0.006436,0.006436,0.006436
20,1705.37,0.9614,0.67846,0.99491,0.85128,0.006238,0.006238,0.006238
21,1792.75,0.94343,0.67379,0.99349,0.84808,0.00604,0.00604,0.00604
22,1879.68,0.92352,0.68072,0.99519,0.84055,0.005842,0.005842,0.005842
23,1967.02,0.91225,0.67237,0.99406,0.85114,0.005644,0.005644,0.005644
24,2045.64,0.90673,0.69049,0.99547,0.80745,0.005446,0.005446,0.005446
25,2130.93,0.89971,0.71087,0.99462,0.77187,0.005248,0.005248,0.005248
26,2217.1,0.88399,0.71894,0.99547,0.76788,0.00505,0.00505,0.00505
27,2300.78,0.86404,0.71101,0.99547,0.76301,0.004852,0.004852,0.004852
28,2374.45,0.85711,0.7246,0.99646,0.74251,0.004654,0.004654,0.004654
29,2453.65,0.83444,0.72658,0.99632,0.74122,0.004456,0.004456,0.004456
30,2529.79,0.82481,0.73181,0.99604,0.7222,0.004258,0.004258,0.004258
31,2608.56,0.82429,0.74115,0.99689,0.7045,0.00406,0.00406,0.00406
32,2688.31,0.79591,0.74908,0.99703,0.6942,0.003862,0.003862,0.003862
33,2772.38,0.78111,0.74667,0.99759,0.69617,0.003664,0.003664,0.003664
34,2848.88,0.77793,0.75149,0.99816,0.66933,0.003466,0.003466,0.003466
35,2932.51,0.76462,0.76691,0.99788,0.63407,0.003268,0.003268,0.003268
36,3017.26,0.74488,0.77286,0.99802,0.63446,0.00307,0.00307,0.00307
37,3103.32,0.72107,0.7829,0.99731,0.61134,0.002872,0.002872,0.002872
38,3186.93,0.7088,0.78545,0.99802,0.60404,0.002674,0.002674,0.002674
39,3265.7,0.70493,0.78305,0.99774,0.60496,0.002476,0.002476,0.002476
40,3342.6,0.6885,0.79196,0.99759,0.58343,0.002278,0.002278,0.002278
41,3426.67,0.67056,0.79352,0.99759,0.57283,0.00208,0.00208,0.00208
42,3511.62,0.65268,0.80258,0.99802,0.56315,0.001882,0.001882,0.001882
43,3592.95,0.64501,0.80215,0.99816,0.55671,0.001684,0.001684,0.001684
44,3672.44,0.62991,0.80965,0.99788,0.54417,0.001486,0.001486,0.001486
45,3757.77,0.6067,0.81234,0.99816,0.53432,0.001288,0.001288,0.001288
46,3841.14,0.58102,0.81531,0.9983,0.52734,0.00109,0.00109,0.00109
47,3923.93,0.56488,0.82281,0.9983,0.51967,0.000892,0.000892,0.000892
48,4007.07,0.55178,0.82324,0.99788,0.51921,0.000694,0.000694,0.000694
49,4080.26,0.54806,0.82692,0.99816,0.51236,0.000496,0.000496,0.000496
50,4163.18,0.5251,0.83017,0.99788,0.50731,0.000298,0.000298,0.000298
